1. Лікар
2. Інженер
3. Вчитель
4. Програміст
5. Фермер
6. Солдат
7. Пекар
8. Художник
9. Адвокат
10. Архітектор
11. Астроном
12. Бариста
13. Ветеринар
14. Водій
15. Геолог
16. Дизайнер
17. Журналіст
18. Зварювальник
19. Капітан корабля
20. Касир
21. Кінооператор
22. Клінічний психолог
23. Конструктор
24. Кухар
25. Лаборант
26. Ландшафтний дизайнер
27. Лісник
28. Математик
29. Механік
30. Музикант
31. Науковець
32. Няня
33. Оператор
34. Офіціант
35. Парамедик
36. Пілот
37. Пожежник
38. Політик
39. Поліцейський
40. Працівник банку
41. Продавець
42. Психолог
43. Радіотехнік
44. Реабілітолог
45. Режисер
46. Рибалка
47. Робототехнік
48. Рятувальник
49. Садівник
50. Сантехнік
51. Секретар
52. Скульптор
53. Соціальний працівник
54. Стоматолог
55. Стюардеса
56. Суддя
57. Танцюрист
58. Телеведучий
59. Терапевт
60. Тракторист
61. Тренер
62. Прибиральник
63. Фельдшер
64. Фізик
65. Фотограф
66. Хірург
67. Хімік
68. Шеф-кухар
69. Швея
70. Ювелір
71. Юрист
72. Актор
73. Бібліотекар
74. Бізнесмен
75. Біолог
76. Брокер
77. Викладач
78. Військовий
79. Геймдизайнер
80. Доглядальник
81. Дресирувальник
82. Еколог
83. Електрик
84. Енергетик 
85. Зоолог
86. Інспектор
87. Кіберспортсмен
88. Космонавт
89. Логопед
90. Масажист
91. Психотерапевт
92. Редактор
93. Сценарист
94. Штурман
95. Екскурсовод
96. Агроном
97. Аналітик даних
98. Анестезіолог
99. Аукціоніст
100. Бармен
101. Блогер
102. Бортінженер
103. Будівельник
104. Візажист
105. Винар
106. Вірусолог
107. Водолаз
108. Гастроентеролог
109. Генетик
110. Гід
111. Гончар
112. Дерматолог
113. Дипломат
114. Дизайнер інтер'єру
115. Диригент
116. Добувальник нафти
117. Економіст
118. Експедитор
119. Електромонтер
120. Ендокринолог
121. Етнограф
122. Жестовий перекладач
123. Завідувач складу
124. Зоотехнік
125. Іллюстратор
126. Імунолог
127. Картограф
128. Керівник проєкту
129. Кладовщик
130. Колекціонер
131. Комік
132. Кондитер
133. Консультант
134. Копірайтер
135. Косметолог
136. Критик мистецтва
137. Куратор
138. Кур'єр
139. Клоун
140. Лінгвіст
141. Логіст
142. Мерчендайзер
143. Метеоролог
144. Мікробіолог
145. Мінер
146. Моряк
147. Муляр
148. Нарколог
149. Нотаріус
150. Палеонтолог
151. Парфумер
152. Перекладач
153. Пілот вертольоту
154. Піаніст 
155. Плиточник
156. Програміст штучного інтелекту
157. Промоутер
158. Протезист
159. Ракетобудівник
160. Редактор відео
161. Репетитор
162. Репортер
163. Реставратор
164. Ріелтор
165. Сапер
166. Сек'юріті
167. Сировар
168. Системний адміністратор
169. Скляр
170. Сомельє
171. Спортивний лікар
172. Столяр
173. Страховий агент
174. Стрілок
175. Судномеханік
176. Тату-майстер
177. Телеведучий
178. Торгівельний агент
179. Токсиколог
180. Туроператор
181. Письменник
182. Укладач поїздів
183. Філолог
184. Філософ
185. Хореограф
